"","Week","No_Dep","Mild_Dep","Moderate_Dep","Severe_Dep","All_Dep","Mean_DScore","Treatment","Talk","Prob_of_Talking","Prob_of_Treatment","Mean_DScore_Male","Mean_DScore_Female","NoDep_Male","Mild_Male","Moderate_Male","Severe_Male","AllDep_Male","NoDep_Female","Mild_Female","Moderate_Female","Severe_Female","AllDep_Female","Count_Male","Count_Female","Male_Treatment","Male_Talks","Female_Treatment","Female_Talks","Environment"
"1",0,942.92,29.62,13.88,13.58,57.08,7.1267,93.58,30.86,2.51683326188,8.95359897582,6.43850990604,7.8233074943,481.78,11.96,5.16,3.62,20.74,461.14,17.66,8.72,9.96,36.34,502.52,497.48,31.42,13.88,62.16,16.98,10
"2",1,943.66,29.38,13.62,13.34,56.34,7.14196072982,92.42,32.12,2.51703941334,8.96543108148,6.47283452686,7.81944133328,481.76,11.98,5.2,3.58,20.76,461.9,17.4,8.42,9.76,35.58,502.52,497.48,29.74,14.3,62.68,17.82,10
"3",2,944.24,29.24,13.5,13.02,55.76,7.16122583218,94.24,30.58,2.51898906486,8.97865745608,6.51074872664,7.8201744966,481.8,11.92,5.26,3.54,20.72,462.44,17.32,8.24,9.48,35.04,502.52,497.48,31.42,13.56,62.82,17.02,10
"4",3,944.72,29.16,13.26,12.86,55.28,7.18583721302,92.2,28.92,2.52295966452,8.98403469252,6.54939994786,7.83031438648,481.78,12,5.18,3.56,20.74,462.94,17.16,8.08,9.3,34.54,502.52,497.48,30.6,12.12,61.6,16.8,10
"5",4,945.46,28.86,12.98,12.7,54.54,7.20326281326,95.5,31.78,2.52388309212,8.99665200668,6.58368900608,7.83066887414,481.98,11.86,5.1,3.58,20.54,463.48,17,7.88,9.12,34,502.52,497.48,31.2,13,64.3,18.78,10
"6",5,946.06,28.54,12.74,12.66,53.94,7.2214576688,93.62,29,2.52750719438,9.00780855708,6.61550395356,7.83536849148,482,11.82,5.1,3.6,20.52,464.06,16.72,7.64,9.06,33.42,502.52,497.48,30.26,12.82,63.36,16.18,10
"7",6,946.94,27.98,12.62,12.46,53.06,7.23561896914,94.96,29.22,2.5293954515,9.01893600528,6.64937936642,7.82942072804,482.08,11.66,5.18,3.6,20.44,464.86,16.32,7.44,8.86,32.62,502.52,497.48,29.76,13.46,65.2,15.76,10
"8",7,947.64,27.66,12.42,12.28,52.36,7.25434458996,96.44,30.28,2.53299163964,9.02928112102,6.68378954308,7.8322132519,482.1,11.74,5.1,3.58,20.42,465.54,15.92,7.32,8.7,31.94,502.52,497.48,31.22,13.62,65.22,16.66,10
"9",8,948.06,27.54,12.24,12.16,51.94,7.2763254352,96.8,29.84,2.53556441712,9.03952035492,6.71984830162,7.8398495918,481.96,11.88,5.08,3.6,20.56,466.1,15.66,7.16,8.56,31.38,502.52,497.48,30.94,13.12,65.86,16.72,10
"10",9,948.62,27.28,12.04,12.06,51.38,7.29334969042,94.94,31,2.53931509048,9.05062001828,6.75423032982,7.83927363132,481.94,11.88,5.12,3.58,20.58,466.68,15.4,6.92,8.48,30.8,502.52,497.48,29.78,14.38,65.16,16.62,10
